tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size: 24x32
        Basic:            164184
        Mult/add basic:   160581
        Striped:          96690
        Mult/add striped: 89807
Size: 25x32
        Basic:            128331
        Mult/add basic:   136060
        Striped:          89556
        Mult/add striped: 90993
Size: 26x32
        Basic:            135370
        Mult/add basic:   138359
        Striped:          92232
        Mult/add striped: 94390
Size: 27x32
        Basic:            134951
        Mult/add basic:   140718
        Striped:          84180
        Mult/add striped: 87348
Size: 28x32
        Basic:            139631
        Mult/add basic:   146206
        Striped:          83765
        Mult/add striped: 83705
Size: 29x32
        Basic:            121571
        Mult/add basic:   125494
        Striped:          84462
        Mult/add striped: 89873
Size: 30x32
        Basic:            126971
        Mult/add basic:   135231
        Striped:          84187
        Mult/add striped: 89146
Size: 31x32
        Basic:            131350
        Mult/add basic:   136435
        Striped:          87480
        Mult/add striped: 90096
Size: 32x32
        Basic:            133548
        Mult/add basic:   138821
        Striped:          80765
        Mult/add striped: 82809
Size: 13x64
        Basic:            147734
        Mult/add basic:   155469
        Striped:          79602
        Mult/add striped: 84516
Size: 14x64
        Basic:            161600
        Mult/add basic:   161200
        Striped:          84476
        Mult/add striped: 81479
Size: 15x64
        Basic:            164274
        Mult/add basic:   168123
        Striped:          78902
        Mult/add striped: 82694
Size: 16x64
        Basic:            181289
        Mult/add basic:   176676
        Striped:          83956
        Mult/add striped: 85809
Size: 17x64
        Basic:            146591
        Mult/add basic:   147299
        Striped:          84482
        Mult/add striped: 90819
Size: 18x64
        Basic:            149768
        Mult/add basic:   149138
        Striped:          89731
        Mult/add striped: 88748
Size: 19x64
        Basic:            149240
        Mult/add basic:   154880
        Striped:          86513
        Mult/add striped: 88930
Size: 20x64
        Basic:            160588
        Mult/add basic:   166111
        Striped:          76544
        Mult/add striped: 74611
Size: 21x64
        Basic:            141111
        Mult/add basic:   140302
        Striped:          89047
        Mult/add striped: 93924
Size: 22x64
        Basic:            145915
        Mult/add basic:   148670
        Striped:          91328
        Mult/add striped: 88408
Size: 23x64
        Basic:            148240
        Mult/add basic:   149108
        Striped:          93296
        Mult/add striped: 94236
Size: 24x64
        Basic:            160573
        Mult/add basic:   157015
